dataset,base,augmentation,seed,metric,value,wall_clock_s,peak_mem_mb
amazon,bigcf,llm_agr,0,recall@5,0.06849322,147.3,1892.3
amazon,bigcf,llm_agr,0,recall@10,0.10642776,147.3,1892.3
amazon,bigcf,llm_agr,0,recall@20,0.1579004,147.3,1892.3
amazon,bigcf,llm_agr,0,ndcg@5,0.06723441,147.3,1892.3
amazon,bigcf,llm_agr,0,ndcg@10,0.08057278,147.3,1892.3
amazon,bigcf,llm_agr,0,ndcg@20,0.09741702,147.3,1892.3
amazon,bigcf,llm_agr,1,recall@5,0.06840469,240.0,1895.9
amazon,bigcf,llm_agr,1,recall@10,0.10502539,240.0,1895.9
amazon,bigcf,llm_agr,1,recall@20,0.15796237,240.0,1895.9
amazon,bigcf,llm_agr,1,ndcg@5,0.0669033,240.0,1895.9
amazon,bigcf,llm_agr,1,ndcg@10,0.07971018,240.0,1895.9
amazon,bigcf,llm_agr,1,ndcg@20,0.09714359,240.0,1895.9
amazon,bigcf,llm_agr,2,recall@5,0.06751076,175.7,1891.3
amazon,bigcf,llm_agr,2,recall@10,0.10389661,175.7,1891.3
amazon,bigcf,llm_agr,2,recall@20,0.15554568,175.7,1891.3
amazon,bigcf,llm_agr,2,ndcg@5,0.06752083,175.7,1891.3
amazon,bigcf,llm_agr,2,ndcg@10,0.07991636,175.7,1891.3
amazon,bigcf,llm_agr,2,ndcg@20,0.09677488,175.7,1891.3
amazon,bigcf,llm_agr,3,recall@5,0.07030721,105.8,1893.3
amazon,bigcf,llm_agr,3,recall@10,0.10769983,105.8,1893.3
amazon,bigcf,llm_agr,3,recall@20,0.16016292,105.8,1893.3
amazon,bigcf,llm_agr,3,ndcg@5,0.06963013,105.8,1893.3
amazon,bigcf,llm_agr,3,ndcg@10,0.08250892,105.8,1893.3
amazon,bigcf,llm_agr,3,ndcg@20,0.0997789,105.8,1893.3
amazon,bigcf,llm_agr,4,recall@5,0.06806562,138.9,1896.2
amazon,bigcf,llm_agr,4,recall@10,0.10556268,138.9,1896.2
amazon,bigcf,llm_agr,4,recall@20,0.1570074,138.9,1896.2
amazon,bigcf,llm_agr,4,ndcg@5,0.06822208,138.9,1896.2
amazon,bigcf,llm_agr,4,ndcg@10,0.0810697,138.9,1896.2
amazon,bigcf,llm_agr,4,ndcg@20,0.09801213,138.9,1896.2
amazon,bigcf,base,0,recall@5,0.06283401,133.7,455.9
amazon,bigcf,base,0,recall@10,0.10135102,133.7,455.9
amazon,bigcf,base,0,recall@20,0.15121635,133.7,455.9
amazon,bigcf,base,0,ndcg@5,0.06369327,133.7,455.9
amazon,bigcf,base,0,ndcg@10,0.07715622,133.7,455.9
amazon,bigcf,base,0,ndcg@20,0.0935779,133.7,455.9
amazon,bigcf,base,1,recall@5,0.06524862,155.6,455.9
amazon,bigcf,base,1,recall@10,0.10270173,155.6,455.9
amazon,bigcf,base,1,recall@20,0.15176185,155.6,455.9
amazon,bigcf,base,1,ndcg@5,0.06501613,155.6,455.9
amazon,bigcf,base,1,ndcg@10,0.07792423,155.6,455.9
amazon,bigcf,base,1,ndcg@20,0.09395718,155.6,455.9
amazon,bigcf,base,2,recall@5,0.06495434,108.4,455.9
amazon,bigcf,base,2,recall@10,0.10151384,108.4,455.9
amazon,bigcf,base,2,recall@20,0.15318736,108.4,455.9
amazon,bigcf,base,2,ndcg@5,0.06529517,108.4,455.9
amazon,bigcf,base,2,ndcg@10,0.07786048,108.4,455.9
amazon,bigcf,base,2,ndcg@20,0.09467263,108.4,455.9
amazon,bigcf,base,3,recall@5,0.06362586,109.3,455.9
amazon,bigcf,base,3,recall@10,0.10152829,109.3,455.9
amazon,bigcf,base,3,recall@20,0.15078123,109.3,455.9
amazon,bigcf,base,3,ndcg@5,0.06440784,109.3,455.9
amazon,bigcf,base,3,ndcg@10,0.0775571,109.3,455.9
amazon,bigcf,base,3,ndcg@20,0.0937859,109.3,455.9
amazon,bigcf,base,4,recall@5,0.06460396,106.9,455.9
amazon,bigcf,base,4,recall@10,0.10028691,106.9,455.9
amazon,bigcf,base,4,recall@20,0.15226907,106.9,455.9
amazon,bigcf,base,4,ndcg@5,0.06425577,106.9,455.9
amazon,bigcf,base,4,ndcg@10,0.07645194,106.9,455.9
amazon,bigcf,base,4,ndcg@20,0.09351259,106.9,455.9
amazon,lightgcn,llm_agr,0,recall@5,0.06217287,293.6,1740.0
amazon,lightgcn,llm_agr,0,recall@10,0.09927067,293.6,1740.0
amazon,lightgcn,llm_agr,0,recall@20,0.1511165,293.6,1740.0
amazon,lightgcn,llm_agr,0,ndcg@5,0.06364343,293.6,1740.0
amazon,lightgcn,llm_agr,0,ndcg@10,0.076391,293.6,1740.0
amazon,lightgcn,llm_agr,0,ndcg@20,0.09336415,293.6,1740.0
amazon,lightgcn,llm_agr,1,recall@5,0.06431697,289.9,1742.5
amazon,lightgcn,llm_agr,1,recall@10,0.10195614,289.9,1742.5
amazon,lightgcn,llm_agr,1,recall@20,0.15231527,289.9,1742.5
amazon,lightgcn,llm_agr,1,ndcg@5,0.06420907,289.9,1742.5
amazon,lightgcn,llm_agr,1,ndcg@10,0.07732242,289.9,1742.5
amazon,lightgcn,llm_agr,1,ndcg@20,0.09393413,289.9,1742.5
amazon,lightgcn,llm_agr,2,recall@5,0.06305963,283.0,1739.5
amazon,lightgcn,llm_agr,2,recall@10,0.10036086,283.0,1739.5
amazon,lightgcn,llm_agr,2,recall@20,0.15280768,283.0,1739.5
amazon,lightgcn,llm_agr,2,ndcg@5,0.06320307,283.0,1739.5
amazon,lightgcn,llm_agr,2,ndcg@10,0.07600424,283.0,1739.5
amazon,lightgcn,llm_agr,2,ndcg@20,0.09328295,283.0,1739.5
amazon,lightgcn,llm_agr,3,recall@5,0.0646176,239.8,1737.5
amazon,lightgcn,llm_agr,3,recall@10,0.10175391,239.8,1737.5
amazon,lightgcn,llm_agr,3,recall@20,0.15106087,239.8,1737.5
amazon,lightgcn,llm_agr,3,ndcg@5,0.06542318,239.8,1737.5
amazon,lightgcn,llm_agr,3,ndcg@10,0.07829866,239.8,1737.5
amazon,lightgcn,llm_agr,3,ndcg@20,0.09431957,239.8,1737.5
amazon,lightgcn,llm_agr,4,recall@5,0.06227485,220.1,1740.7
amazon,lightgcn,llm_agr,4,recall@10,0.09973945,220.1,1740.7
amazon,lightgcn,llm_agr,4,recall@20,0.15023085,220.1,1740.7
amazon,lightgcn,llm_agr,4,ndcg@5,0.06272709,220.1,1740.7
amazon,lightgcn,llm_agr,4,ndcg@10,0.07586851,220.1,1740.7
amazon,lightgcn,llm_agr,4,ndcg@20,0.09240517,220.1,1740.7
amazon,lightgcn,base,0,recall@5,0.05671228,246.5,289.6
amazon,lightgcn,base,0,recall@10,0.09145186,246.5,289.6
amazon,lightgcn,base,0,recall@20,0.14007065,246.5,289.6
amazon,lightgcn,base,0,ndcg@5,0.05805794,246.5,289.6
amazon,lightgcn,base,0,ndcg@10,0.0695986,246.5,289.6
amazon,lightgcn,base,0,ndcg@20,0.08546096,246.5,289.6
amazon,lightgcn,base,1,recall@5,0.05757853,304.1,289.6
amazon,lightgcn,base,1,recall@10,0.09162328,304.1,289.6
amazon,lightgcn,base,1,recall@20,0.14028536,304.1,289.6
amazon,lightgcn,base,1,ndcg@5,0.05850835,304.1,289.6
amazon,lightgcn,base,1,ndcg@10,0.07003952,304.1,289.6
amazon,lightgcn,base,1,ndcg@20,0.08591362,304.1,289.6
amazon,lightgcn,base,2,recall@5,0.05963881,337.7,289.1
amazon,lightgcn,base,2,recall@10,0.09441927,337.7,289.1
amazon,lightgcn,base,2,recall@20,0.14060125,337.7,289.1
amazon,lightgcn,base,2,ndcg@5,0.05978467,337.7,289.1
amazon,lightgcn,base,2,ndcg@10,0.07173732,337.7,289.1
amazon,lightgcn,base,2,ndcg@20,0.08707949,337.7,289.1
amazon,lightgcn,base,3,recall@5,0.05503733,231.1,289.5
amazon,lightgcn,base,3,recall@10,0.08866826,231.1,289.5
amazon,lightgcn,base,3,recall@20,0.1365919,231.1,289.5
amazon,lightgcn,base,3,ndcg@5,0.05628654,231.1,289.5
amazon,lightgcn,base,3,ndcg@10,0.06788724,231.1,289.5
amazon,lightgcn,base,3,ndcg@20,0.08352715,231.1,289.5
amazon,lightgcn,base,4,recall@5,0.05671868,251.5,289.6
amazon,lightgcn,base,4,recall@10,0.09174572,251.5,289.6
amazon,lightgcn,base,4,recall@20,0.1410002,251.5,289.6
amazon,lightgcn,base,4,ndcg@5,0.05752297,251.5,289.6
amazon,lightgcn,base,4,ndcg@10,0.06940931,251.5,289.6
amazon,lightgcn,base,4,ndcg@20,0.0854383,251.5,289.6
amazon,sgl,llm_agr,0,recall@5,0.06687617,141.0,2209.5
amazon,sgl,llm_agr,0,recall@10,0.10302679,141.0,2209.5
amazon,sgl,llm_agr,0,recall@20,0.15382073,141.0,2209.5
amazon,sgl,llm_agr,0,ndcg@5,0.06708387,141.0,2209.5
amazon,sgl,llm_agr,0,ndcg@10,0.07951714,141.0,2209.5
amazon,sgl,llm_agr,0,ndcg@20,0.09601269,141.0,2209.5
amazon,sgl,llm_agr,1,recall@5,0.06490196,141.4,2209.5
amazon,sgl,llm_agr,1,recall@10,0.10178223,141.4,2209.5
amazon,sgl,llm_agr,1,recall@20,0.15236608,141.4,2209.5
amazon,sgl,llm_agr,1,ndcg@5,0.06576842,141.4,2209.5
amazon,sgl,llm_agr,1,ndcg@10,0.07853039,141.4,2209.5
amazon,sgl,llm_agr,1,ndcg@20,0.09500513,141.4,2209.5
amazon,sgl,llm_agr,2,recall@5,0.06751949,112.5,2211.0
amazon,sgl,llm_agr,2,recall@10,0.10277363,112.5,2211.0
amazon,sgl,llm_agr,2,recall@20,0.1498931,112.5,2211.0
amazon,sgl,llm_agr,2,ndcg@5,0.06697225,112.5,2211.0
amazon,sgl,llm_agr,2,ndcg@10,0.07919892,112.5,2211.0
amazon,sgl,llm_agr,2,ndcg@20,0.09469264,112.5,2211.0
amazon,sgl,llm_agr,3,recall@5,0.064731,137.6,2209.3
amazon,sgl,llm_agr,3,recall@10,0.1018325,137.6,2209.3
amazon,sgl,llm_agr,3,recall@20,0.15160946,137.6,2209.3
amazon,sgl,llm_agr,3,ndcg@5,0.06551738,137.6,2209.3
amazon,sgl,llm_agr,3,ndcg@10,0.07799705,137.6,2209.3
amazon,sgl,llm_agr,3,ndcg@20,0.09417718,137.6,2209.3
amazon,sgl,llm_agr,4,recall@5,0.06415644,131.2,2209.2
amazon,sgl,llm_agr,4,recall@10,0.10116747,131.2,2209.2
amazon,sgl,llm_agr,4,recall@20,0.15036952,131.2,2209.2
amazon,sgl,llm_agr,4,ndcg@5,0.06560974,131.2,2209.2
amazon,sgl,llm_agr,4,ndcg@10,0.07808047,131.2,2209.2
amazon,sgl,llm_agr,4,ndcg@20,0.09427595,131.2,2209.2
amazon,sgl,base,0,recall@5,0.06324989,100.6,670.9
amazon,sgl,base,0,recall@10,0.0977085,100.6,670.9
amazon,sgl,base,0,recall@20,0.14786261,100.6,670.9
amazon,sgl,base,0,ndcg@5,0.06333895,100.6,670.9
amazon,sgl,base,0,ndcg@10,0.07506173,100.6,670.9
amazon,sgl,base,0,ndcg@20,0.09155081,100.6,670.9
amazon,sgl,base,1,recall@5,0.06407179,83.5,670.9
amazon,sgl,base,1,recall@10,0.09842202,83.5,670.9
amazon,sgl,base,1,recall@20,0.14659087,83.5,670.9
amazon,sgl,base,1,ndcg@5,0.06442176,83.5,670.9
amazon,sgl,base,1,ndcg@10,0.07592516,83.5,670.9
amazon,sgl,base,1,ndcg@20,0.09168036,83.5,670.9
amazon,sgl,base,2,recall@5,0.06437126,98.7,670.9
amazon,sgl,base,2,recall@10,0.10079986,98.7,670.9
amazon,sgl,base,2,recall@20,0.14692999,98.7,670.9
amazon,sgl,base,2,ndcg@5,0.06413781,98.7,670.9
amazon,sgl,base,2,ndcg@10,0.07668438,98.7,670.9
amazon,sgl,base,2,ndcg@20,0.09183762,98.7,670.9
amazon,sgl,base,3,recall@5,0.06269341,98.3,670.3
amazon,sgl,base,3,recall@10,0.09912762,98.3,670.3
amazon,sgl,base,3,recall@20,0.14840578,98.3,670.3
amazon,sgl,base,3,ndcg@5,0.0632131,98.3,670.3
amazon,sgl,base,3,ndcg@10,0.07526225,98.3,670.3
amazon,sgl,base,3,ndcg@20,0.09145178,98.3,670.3
amazon,sgl,base,4,recall@5,0.06414024,103.5,670.9
amazon,sgl,base,4,recall@10,0.09769028,103.5,670.9
amazon,sgl,base,4,recall@20,0.1483376,103.5,670.9
amazon,sgl,base,4,ndcg@5,0.06395367,103.5,670.9
amazon,sgl,base,4,ndcg@10,0.07541567,103.5,670.9
amazon,sgl,base,4,ndcg@20,0.09169597,103.5,670.9
amazon,simgcl,llm_agr,0,recall@5,0.06420138,351.6,2212.2
amazon,simgcl,llm_agr,0,recall@10,0.10190692,351.6,2212.2
amazon,simgcl,llm_agr,0,recall@20,0.15329001,351.6,2212.2
amazon,simgcl,llm_agr,0,ndcg@5,0.06372557,351.6,2212.2
amazon,simgcl,llm_agr,0,ndcg@10,0.07694638,351.6,2212.2
amazon,simgcl,llm_agr,0,ndcg@20,0.09373739,351.6,2212.2
amazon,simgcl,llm_agr,1,recall@5,0.06545531,301.6,2205.2
amazon,simgcl,llm_agr,1,recall@10,0.10201466,301.6,2205.2
amazon,simgcl,llm_agr,1,recall@20,0.15399808,301.6,2205.2
amazon,simgcl,llm_agr,1,ndcg@5,0.06483183,301.6,2205.2
amazon,simgcl,llm_agr,1,ndcg@10,0.07727748,301.6,2205.2
amazon,simgcl,llm_agr,1,ndcg@20,0.09423049,301.6,2205.2
amazon,simgcl,llm_agr,2,recall@5,0.06472367,274.7,2206.6
amazon,simgcl,llm_agr,2,recall@10,0.10252739,274.7,2206.6
amazon,simgcl,llm_agr,2,recall@20,0.15523935,274.7,2206.6
amazon,simgcl,llm_agr,2,ndcg@5,0.06514828,274.7,2206.6
amazon,simgcl,llm_agr,2,ndcg@10,0.07815665,274.7,2206.6
amazon,simgcl,llm_agr,2,ndcg@20,0.09522678,274.7,2206.6
amazon,simgcl,llm_agr,3,recall@5,0.06269884,176.3,2209.9
amazon,simgcl,llm_agr,3,recall@10,0.09887312,176.3,2209.9
amazon,simgcl,llm_agr,3,recall@20,0.15101808,176.3,2209.9
amazon,simgcl,llm_agr,3,ndcg@5,0.06328286,176.3,2209.9
amazon,simgcl,llm_agr,3,ndcg@10,0.07559529,176.3,2209.9
amazon,simgcl,llm_agr,3,ndcg@20,0.09265105,176.3,2209.9
amazon,simgcl,llm_agr,4,recall@5,0.0630992,322.1,2207.7
amazon,simgcl,llm_agr,4,recall@10,0.09887853,322.1,2207.7
amazon,simgcl,llm_agr,4,recall@20,0.15213398,322.1,2207.7
amazon,simgcl,llm_agr,4,ndcg@5,0.06362275,322.1,2207.7
amazon,simgcl,llm_agr,4,ndcg@10,0.07592963,322.1,2207.7
amazon,simgcl,llm_agr,4,ndcg@20,0.09330233,322.1,2207.7
amazon,simgcl,base,0,recall@5,0.0604199,231.7,526.6
amazon,simgcl,base,0,recall@10,0.09752073,231.7,526.6
amazon,simgcl,base,0,recall@20,0.1504898,231.7,526.6
amazon,simgcl,base,0,ndcg@5,0.06083159,231.7,526.6
amazon,simgcl,base,0,ndcg@10,0.0736826,231.7,526.6
amazon,simgcl,base,0,ndcg@20,0.09113697,231.7,526.6
amazon,simgcl,base,1,recall@5,0.06283027,300.8,526.6
amazon,simgcl,base,1,recall@10,0.10013601,300.8,526.6
amazon,simgcl,base,1,recall@20,0.15191615,300.8,526.6
amazon,simgcl,base,1,ndcg@5,0.06228593,300.8,526.6
amazon,simgcl,base,1,ndcg@10,0.07528051,300.8,526.6
amazon,simgcl,base,1,ndcg@20,0.09218424,300.8,526.6
amazon,simgcl,base,2,recall@5,0.0625925,150.0,526.6
amazon,simgcl,base,2,recall@10,0.1010148,150.0,526.6
amazon,simgcl,base,2,recall@20,0.15089688,150.0,526.6
amazon,simgcl,base,2,ndcg@5,0.06240571,150.0,526.6
amazon,simgcl,base,2,ndcg@10,0.07559975,150.0,526.6
amazon,simgcl,base,2,ndcg@20,0.09191639,150.0,526.6
amazon,simgcl,base,3,recall@5,0.06023663,214.3,526.6
amazon,simgcl,base,3,recall@10,0.09859147,214.3,526.6
amazon,simgcl,base,3,recall@20,0.1512236,214.3,526.6
amazon,simgcl,base,3,ndcg@5,0.06125286,214.3,526.6
amazon,simgcl,base,3,ndcg@10,0.07453662,214.3,526.6
amazon,simgcl,base,3,ndcg@20,0.09160921,214.3,526.6
amazon,simgcl,base,4,recall@5,0.06129179,193.7,526.6
amazon,simgcl,base,4,recall@10,0.09772749,193.7,526.6
amazon,simgcl,base,4,recall@20,0.15061531,193.7,526.6
amazon,simgcl,base,4,ndcg@5,0.06188771,193.7,526.6
amazon,simgcl,base,4,ndcg@10,0.07449697,193.7,526.6
amazon,simgcl,base,4,ndcg@20,0.09175617,193.7,526.6
