dataset,base,augmentation,seed,metric,value,wall_clock_s,peak_mem_mb
yelp,bigcf,llm_agr,0,recall@5,0.0492991,125.7,2058.3
yelp,bigcf,llm_agr,0,recall@10,0.08146562,125.7,2058.3
yelp,bigcf,llm_agr,0,recall@20,0.13407715,125.7,2058.3
yelp,bigcf,llm_agr,0,ndcg@5,0.05747975,125.7,2058.3
yelp,bigcf,llm_agr,0,ndcg@10,0.06717289,125.7,2058.3
yelp,bigcf,llm_agr,0,ndcg@20,0.08494096,125.7,2058.3
yelp,bigcf,llm_agr,1,recall@5,0.04994249,131.1,2059.2
yelp,bigcf,llm_agr,1,recall@10,0.08210859,131.1,2059.2
yelp,bigcf,llm_agr,1,recall@20,0.13629451,131.1,2059.2
yelp,bigcf,llm_agr,1,ndcg@5,0.0574287,131.1,2059.2
yelp,bigcf,llm_agr,1,ndcg@10,0.06737007,131.1,2059.2
yelp,bigcf,llm_agr,1,ndcg@20,0.08576675,131.1,2059.2
yelp,bigcf,llm_agr,2,recall@5,0.04920661,113.5,2058.9
yelp,bigcf,llm_agr,2,recall@10,0.08197458,113.5,2058.9
yelp,bigcf,llm_agr,2,recall@20,0.13379997,113.5,2058.9
yelp,bigcf,llm_agr,2,ndcg@5,0.05730919,113.5,2058.9
yelp,bigcf,llm_agr,2,ndcg@10,0.06737418,113.5,2058.9
yelp,bigcf,llm_agr,2,ndcg@20,0.08502839,113.5,2058.9
yelp,bigcf,llm_agr,3,recall@5,0.04990973,146.6,2058.2
yelp,bigcf,llm_agr,3,recall@10,0.08277147,146.6,2058.2
yelp,bigcf,llm_agr,3,recall@20,0.13469559,146.6,2058.2
yelp,bigcf,llm_agr,3,ndcg@5,0.05838528,146.6,2058.2
yelp,bigcf,llm_agr,3,ndcg@10,0.06829618,146.6,2058.2
yelp,bigcf,llm_agr,3,ndcg@20,0.08593522,146.6,2058.2
yelp,bigcf,llm_agr,4,recall@5,0.04827378,152.1,2058.8
